model,publication_date,year,organization,domain,task,parameters,training_compute_flop,training_dataset_size_total,log10_parameters,log10_training_compute_flop,log10_training_dataset_size_total,parameters_provenance,training_compute_provenance,training_dataset_provenance,parameters_algorithm_imputed_flag,training_compute_algorithm_imputed_flag,training_dataset_algorithm_imputed_flag,reasoning_flag,tool_use_flag,agentic_flag,chat_flag,code_flag,multimodal_flag,historical_architecture_anchor,open_model_weights_code,foundation_model_flag,frontier_model_flag,imputed_any_flag
M6-T,2021-03-05,2021,Alibaba,"Multimodal,Language,Vision","Chat,Image captioning",1.0027e+12,5.5e+21,111800000000,12.0011710149,21.7403626895,11.0484418036,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Unicorn,2021-03-24,2021,Allen Institute for AI,Language,"Question answering,Language modeling/generation",11000000000,1.11509640839e+21,126933053221,10.0413926852,21.047312417,11.1035747266,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,1,0,0,1
PLUG,2021-04-19,2021,Alibaba,Language,Language modeling/generation,27000000000,3.5997696e+22,60000000000,10.4313637642,22.556274705,10.7781512504,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ByT5-XXL,2021-05-28,2021,"Google,Google Research",Language,Language modeling,12900000000,8.1e+22,1.048576e+12,10.1105897103,22.9084850189,12.0205999133,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EMDR,2021-06-09,2021,"Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),McGill University,DeepMind",Language,Question answering,440000000,1.91e+21,171600000000,8.64345267649,21.2810333672,11.2345172835,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DeBERTa,2021-06-10,2021,Microsoft,Language,"Language modeling/generation,Question answering",1500000000,2.588e+22,20800000000,9.17609125906,22.412964272,10.318063335,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Adaptive Input Transformer + RD,2021-06-28,2021,"Microsoft Research Asia,Soochow University",Language,Language modeling,247000000,8.58e+19,103000000,8.39269695326,19.9334872878,8.01283722471,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERNIE 3.0,2021-07-05,2021,Baidu,Language,"Language modeling,Language modeling/generation,Text classification,Question answering",10000000000,2.25e+22,375000000000,10,22.3521825181,11.5740312677,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jurassic-1-Jumbo,2021-08-11,2021,AI21 Labs,Language,"Language modeling/generation,Chat",178000000000,3.7e+23,300000000000,11.2504200023,23.5682017241,11.4771212547,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Zidong Taichu,2021-08-11,2021,"Chinese Academy of Sciences,Wuhan AI Computing Center","Multimodal,Speech,Vision,Language","Language modeling/generation,Speech recognition (ASR),Image captioning",3200000000,8.016e+20,85351039829.6,9.50514997832,20.9039577085,10.9312088165,strict_observed,strict_observed,mice_pmm,0,0,1,0,0,0,0,0,1,0,1,0,0,1
XLMR-XXL,2021-08-17,2021,Facebook AI Research,Language,"Translation,Language modeling/generation",10700000000,3.366e+22,167000000000,10.0293837777,22.5271141116,11.2227164711,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FLAN 137B,2021-09-03,2021,Google Research,Language,"Language modeling,Question answering,Language modeling/generation",137000000000,2.047e+24,2.49e+12,11.1367205672,24.3111178427,12.3961993471,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PermuteFormer,2021-09-06,2021,Peking University,Language,Language modeling,149697024,2.775e+18,103000000,8.17521316659,18.4432629875,8.01283722471,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HyperCLOVA 204B,2021-09-10,2021,NAVER,Language,Language modeling/generation,204000000000,2.0000000001e+23,560000000000,11.3096301674,23.3010299957,11.748188027,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,1,1,0
PLATO-XL,2021-09-20,2021,Baidu,Language,Language modeling,11000000000,9.9e+21,150000000000,10.0413926852,21.9956351946,11.1760912591,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Turing ULRv5,2021-09-28,2021,Microsoft,Language,"Language modeling/generation,Question answering,Translation",2200000000,2.8983951e+22,32430000000,9.34242268082,22.4621575868,10.5109469487,strict_observed,strict_observed,mice_pmm,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Megatron-Turing NLG 530B,2021-10-11,2021,"Microsoft,NVIDIA",Language,"Language modeling,Language modeling/generation,Question answering",530000000000,8.586e+23,270000000000,11.7242758696,23.9337908841,11.4313637642,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Yuan 1.0,2021-10-12,2021,Inspur,Language,Language modeling,245730000000,3.538e+23,180000000000,11.3904581807,23.5487578286,11.2552725051,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,1,0
base LM+GNN+kNN,2021-10-17,2021,"Shannon.AI,Nanjing University,Nanyang Technological University,Zhejiang University (ZJU)",Language,Language modeling,274000000,5.2587456e+19,103000000,8.43775056282,19.7208821617,8.01283722471,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S4,2021-10-31,2021,Stanford University,Language,Language modeling/generation,249000000,7.8328627e+19,103000000,8.3961993471,19.893920514,8.01283722471,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CodeT5-base,2021-11-01,2021,"Salesforce,Nanyang Technological University",Language,Code generation,220000000,1.56e+21,42666666666,8.34242268082,21.1931245984,10.6300887149,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,1,0,0,1,0,0,1
Gopher (280B),2021-12-08,2021,DeepMind,Language,"Language modeling,Question answering",280000000000,6.31e+23,300000000000,11.4471580313,23.8000293592,11.4771212547,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GLaM,2021-12-13,2021,Google,Language,"Language modeling/generation,Question answering",1.2e+12,3.6363112434e+23,600000000000,12.079181246,23.5606610488,11.7781512504,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Contriever,2021-12-16,2021,"Meta AI,University College London (UCL),PSL University,Université Grenoble Alpes",Language,Language modeling,110000000,1.57e+20,262144000000,8.04139268516,20.1958996524,11.418539922,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,1,0,0,0
XGLM-7.5B,2021-12-20,2021,"Meta AI,Facebook AI Research",Language,"Translation,Question answering,Language modeling/generation",7500000000,2.25e+22,500000000000,9.87506126339,22.3521825181,11.6989700043,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ERNIE 3.0 Titan,2021-12-23,2021,"Baidu,Peng Cheng Laboratory",Language,"Language modeling,Language modeling/generation,Relation extraction,Sentiment classification,Text classification",260000000000,1.0421e+24,668000000000,11.414973348,24.0179093959,11.8247764625,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ERNIE-ViLG,2021-12-31,2021,Baidu,"Multimodal,Image generation,Vision,Language","Vision-language generation,Image generation,Text-to-image,Image captioning,Language modeling/generation,Visual question answering",10000000000,4.02e+21,395000000000,10,21.6042260531,11.5965970956,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,1,0,0,1,0,1
data2vec (language),2022-01-20,2022,Meta AI,Language,Language modeling/generation,705134592,7.94443201242e+21,131072000000,8.84827202051,21.9000628527,11.1175099263,epoch_source_estimate,mice_pmm,epoch_source_estimate,0,1,0,0,0,0,0,0,0,0,1,0,0,1
InstructGPT 1.3B,2022-01-27,2022,OpenAI,Language,Language modeling/generation,1300000000,1.7901648e+22,131072000000,9.11394335231,22.2528930133,11.1175099263,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,0,1,0,1
InstructGPT 175B,2022-01-27,2022,OpenAI,Language,Language modeling/generation,175000000000,3.19181e+23,16969897,11.2430380487,23.504037031,7.22967920634,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,1,0,0
InstructGPT 6B,2022-01-27,2022,OpenAI,Language,Language modeling/generation,6000000000,3.87917517006e+22,84537959915.5,9.77815125038,22.5887393913,10.9270517632,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,0,1,0,1
AlphaCode,2022-02-02,2022,DeepMind,Language,Code generation,41100000000,2.3801e+23,967000000000,10.6138418219,23.3765952043,11.9854264741,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,1,0,0,0,1,0,0
RETRO-7B,2022-02-07,2022,DeepMind,Language,"Language modeling/generation,Language modeling",7500000000,1.68e+22,419430400000,9.87506126339,22.2253092817,11.6226599046,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPT-NeoX-20B,2022-02-09,2022,EleutherAI,Language,Language modeling/generation,20000000000,9.31627008e+22,341173367965,10.3010299957,22.9692420703,11.5329751227,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LaMDA,2022-02-10,2022,Google,Language,Language modeling,137000000000,3.55e+23,2.08e+12,11.1367205672,23.5502283531,12.318063335,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ST-MoE,2022-02-17,2022,"Google,Google Brain,Google Research",Language,Language modeling/generation,269000000000,2.9e+23,1.5e+12,11.42975228,23.4623979979,12.1760912591,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PolyCoder,2022-02-26,2022,Carnegie Mellon University (CMU),Language,Code generation,2700000000,1.1e+21,39300000000,9.43136376416,21.0413926852,10.5943925504,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,1,0,0,1,1,0,0
DeepNet,2022-03-01,2022,Microsoft Research,Language,"Language modeling,Translation,Language modeling/generation",3200000000,2.588e+22,272629760000,9.50514997832,22.412964272,11.4355732613,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Statement Curriculum Learning,2022-03-02,2022,OpenAI,"Language,Mathematics","Automated theorem proving,Language modeling/generation,Question answering,Mathematical reasoning",774000000,1.7901648e+22,372000000000,8.88874096068,22.2528930133,11.5705429399,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GPT-3.5 (davinci-002),2022-03-15,2022,OpenAI,Language,Language modeling,122498979588,2.578e+24,263655217515,11.0881324711,24.411282913,11.4210363701,mice_pmm,epoch_source_estimate,mice_pmm,1,0,1,0,0,0,0,0,0,0,0,0,1,1
"Segatron-XL large, M=384 + HCP",2022-03-21,2022,"Microsoft Research,University of Waterloo",Language,Language modeling,257000000,2.65e+19,103000000,8.40993312333,19.4232458739,8.01283722471,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinchilla,2022-03-29,2022,DeepMind,Language,Language modeling,70000000000,5.76e+23,1.4e+12,10.84509804,23.7604224834,12.1461280357,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PaLM (540B),2022-04-04,2022,Google Research,Language,"Language modeling,Code generation,Translation",540350000000,2.5272e+24,780000000000,11.7326751558,24.4026396129,11.8920946027,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Sparse all-MLP,2022-04-14,2022,Meta AI,Language,Language modeling,9410000000,5.32224e+20,100000000000,9.97358962343,20.7260944546,11,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flamingo,2022-04-29,2022,DeepMind,"Multimodal,Vision,Language,Video","Visual question answering,Image captioning",80000000000,2.18972e+23,458333333333,10.903089987,23.3403885851,11.6611814434,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,1,0,0,1,0,0
OPT-175B,2022-05-02,2022,Meta AI,Language,"Language modeling,Chat,Language modeling/generation,Question answering",175000000000,4.3e+23,180000000000,11.2430380487,23.6334684556,11.2552725051,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,1,0,0,0,1,0,0,0
DeBERTaV3large + KEAR,2022-05-04,2022,Microsoft,Language,"Question answering,Language modeling/generation",418000000,8.3e+20,103000000,8.62117628178,20.9190780924,8.01283722471,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,0,0,0,1
UL2,2022-05-10,2022,"Google Research,Google Brain",Language,"Language modeling/generation,Question answering,Text summarization",20000000000,1.2e+23,1e+12,10.3010299957,23.079181246,12,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Gato,2022-05-12,2022,DeepMind,"Multimodal,Robotics,Games,Language","Atari,Image captioning,Chat,Robotic manipulation",1180000000,4.02e+21,524288000000,9.07188200731,21.6042260531,11.7195699176,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,1,0,1,0,0,1,0,0
GPT-2 Medium (FlashAttention),2022-05-27,2022,"Stanford University,University at Buffalo",Language,Language modeling/generation,355000000,8.9280922e+20,10130000000,8.55022835306,20.9507586666,10.0056094454,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DITTO,2022-06-06,2022,"Tsinghua University,Apple,Westlake University,Chinese University of Hong Kong (CUHK)",Language,"Language modeling/generation,Text summarization",750000000,3.31776e+18,103000000,8.87506126339,18.5208449668,8.01283722471,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaLM,2022-06-13,2022,Microsoft Research,"Multimodal,Language,Vision","Language modeling,Visual question answering,Language modeling/generation,Image captioning",13586758259.4,1.56023075216e+22,646707200000,10.1331158483,22.1931888336,11.8107076961,mice_pmm,mice_pmm,epoch_source_estimate,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Minerva (540B),2022-06-29,2022,Google,Language,"Quantitative reasoning,Mathematical reasoning,Language modeling/generation,Question answering",540350000000,2.7415e+24,26000000000,11.7326751558,24.4379882502,10.414973348,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,0,0,0,0,1,1,0
CodeT5-large,2022-07-05,2022,Salesforce,Language,Code generation,770000000,2.72e+21,10500000000,8.88649072517,21.434568904,10.0211892991,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,1,0,0,1,0,0,0
BLOOM-176B,2022-07-11,2022,"Hugging Face,BigScience",Language,"Language modeling,Translation,Code generation",176247271424,3.65664e+23,379000000000,11.2461224022,23.5630822057,11.57863921,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,1,0,0,1,1,0,0
AlexaTM 20B,2022-08-02,2022,Amazon,Language,"Language modeling,Translation,Question answering",19750000000,2.04374016e+23,1.319e+12,10.2955671,23.310425679,12.1202447955,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLM-130B,2022-08-04,2022,Tsinghua University,Language,"Language modeling/generation,Translation",130000000000,3.5490054945e+23,152000000000,11.1139433523,23.5501066717,11.1818435879,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BlenderBot 3,2022-08-10,2022,"McGill University,Meta AI,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",Language,Chat,175000000000,4.3e+23,1300000000,11.2430380487,23.6334684556,9.11394335231,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,1,0,0,0,1,0,0,0
BEIT-3,2022-08-22,2022,Microsoft,"Multimodal,Vision,Language","Object detection,Semantic segmentation,Image classification,Visual question answering,Image captioning,Language generation",1900000000,7e+19,1550000000,9.27875360095,19.84509804,9.19033169817,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,1,0,1,0,0,1
PaLI,2022-09-14,2022,Google,"Language,Vision,Multimodal","Visual question answering,Language modeling/generation,Image captioning",16900000000,1.69e+23,143507000000,10.2278867046,23.2278867046,11.1568730856,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Flan-PaLM 540B,2022-10-20,2022,Google,Language,"Language modeling/generation,Question answering,Mathematical reasoning",540000000000,2.54e+24,1400000000,11.7323937598,24.4048337166,9.14612803568,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,0,0,0,0,0,1,0
LMSI-Palm,2022-10-20,2022,"Google,University of Illinois Urbana-Champaign (UIUC)",Language,"Language generation,Language modeling/generation,Question answering,Mathematical reasoning",540000000000,2.6269685577e+21,1920000,11.7323937598,21.4194548747,6.2833012287,strict_observed,mice_pmm,strict_observed,0,1,0,1,0,0,0,0,0,0,0,0,0,1
U-PaLM (540B),2022-10-20,2022,Google,Language,"Language generation,Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning",540000000000,2.53e+24,1300000000,11.7323937598,24.4031205212,9.11394335231,strict_observed,epoch_source_estimate,strict_observed,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Mogrifier RLSTM (WT2),2022-11-03,2022,DeepMind,Language,Language modeling,35000000,1.4e+17,2666667,7.54406804435,17.1461280357,6.42596878656,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mT0-13B,2022-11-03,2022,"Hugging Face,BigScience",Language,"Translation,Language modeling/generation",13000000000,1.50828710795e+22,20000000000,10.1139433523,22.1784840189,10.3010299957,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,0,0,0,1,0,0,1
AltCLIP_M9,2022-11-12,2022,Beijing Academy of Artificial Intelligence / BAAI,"Multimodal,Language,Vision","Language modeling/generation,Chat,Visual question answering,Image generation",1332666499.92,1.00460516736e+21,33205722398.4,9.12472148072,21.0019954077,10.5212129329,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,1,0,1,0,0,1
Galactica,2022-11-16,2022,Meta AI,"Language,Biology","Language modeling,Question answering,Mathematical reasoning,Medical diagnosis,Language modeling/generation",120000000000,3.24e+23,106000000000,11.079181246,23.5105450102,11.0253058653,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Fusion in Encoder,2022-11-18,2022,Samsung,Language,"Question answering,Language modeling/generation",330000000,1.3e+20,960000,8.51851393988,20.1139433523,5.98227123304,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALM 1.0,2022-11-28,2022,Beijing Academy of Artificial Intelligence / BAAI,Language,Language modeling,335000000,1.92e+21,22696572400,8.52504480704,21.2833012287,10.3559602757,epoch_source_estimate,mice_pmm,epoch_source_estimate,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Vega v2,2022-12-04,2022,"Wuhan University,JD Explore Academy,Shanghai AI Lab,Nanyang Technological University,Washington University in St Louis,Chongqing University of Posts and Telecommunications,University of Sydney",Language,"Language modeling,Question answering,Word sense disambiguation",6000000000,7.76e+22,6439999999,9.77815125038,22.8898617213,9.80888586729,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hybrid H3-2.7B,2022-12-28,2022,"Stanford University,University at Buffalo",Language,"Language modeling/generation,Question answering",2700000000,6.48e+21,400000000000,9.43136376416,21.8115750059,11.6020599913,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BLIP-2 (Q-Former),2023-01-30,2023,Salesforce Research,"Vision,Language","Visual question answering,Image captioning",1480000000,1.20000000001e+21,2322000000,9.17026171539,21.0791812461,9.3658622154,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,1,0,1,0,0,0
LLaMA-65B,2023-02-24,2023,Meta AI,Language,"Language modeling,Code generation",65200000000,5.5e+23,1.4e+12,10.8142475957,23.7403626895,12.1461280357,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,1,0,0,1,1,0,0
PaLM-E,2023-03-06,2023,"Google,TU Berlin","Robotics,Vision,Language","Visual question answering,Robotic manipulation,Image captioning,Language generation",562000000000,3.96529343177e+23,395000000000,11.7497363156,23.5982753306,11.5965970956,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,1,0,0,1,0,1
Claude,2023-03-14,2023,Anthropic,Language,"Language modeling,Chat,Language modeling/generation,Question answering",276000000000,1.46054055062e+24,7e+12,11.4409090821,24.1645136193,12.84509804,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,0,0,0,1,0,1
Falcon-40B,2023-03-15,2023,Technology Innovation Institute,Language,"Language modeling,Language modeling/generation,Question answering",40000000000,2.4e+23,1e+12,10.6020599913,23.3802112417,12,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,1,0,0
GPT-4 (Mar 2023),2023-03-15,2023,OpenAI,"Multimodal,Language,Vision","Language modeling,Language modeling/generation,Question answering,Visual question answering",1.8e+12,2.1e+25,5.41666666667e+12,12.2552725051,25.3222192947,12.7337321106,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,1,0,0,1,1,0
PanGu-Σ,2023-03-20,2023,Huawei Noah's Ark Lab,Language,"Code generation,Language modeling,Translation,Question answering",1.085e+12,4.67e+23,329000000000,12.0354297382,23.6693168806,11.5171958979,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BloombergGPT,2023-03-30,2023,"Bloomberg,Johns Hopkins University",Language,"Language modeling,Language modeling/generation,Question answering,Financial management,Text classification",50558868480,2.36e+23,569000000000,10.7037973458,23.372912003,11.7551122664,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Incoder-6.7B,2023-04-09,2023,"Facebook AI Research,University of Washington,University of California (UC) Berkeley,Carnegie Mellon University (CMU),Toyota Technological Institute at Chicago",Language,Code generation,6700000000,3.00001e+21,52000000000,9.8260748027,21.4771227024,10.7160033436,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,1,0,0,1,0,0,0
LLaVA,2023-04-17,2023,"University of Wisconsin Madison,Microsoft Research,Columbia University","Multimodal,Vision,Language","Chat,Question answering,Visual question answering",13000000000,7.8049e+22,395000000000,10.1139433523,22.8923673431,11.5965970956,strict_observed,strict_observed,mice_pmm,0,0,1,0,0,0,1,0,1,0,1,0,0,1
ImageBind,2023-05-09,2023,Meta AI,"Multimodal,Vision,Audio,Language,Image generation,Speech","Image classification,Speech recognition (ASR),Image generation,Language modeling/generation",932000000,9.68995356026e+21,40948748454.3,8.96941591235,21.9863216957,10.6122406326,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,1,0,1,0,0,1
StarCoder,2023-05-09,2023,"Hugging Face,ServiceNow,Northeastern University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich",Language,Code generation,15500000000,8.46e+22,203750000000,10.1903316982,22.927370363,11.3090976174,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,1,0,0,1,1,0,0
PaLM 2,2023-05-10,2023,Google,Language,"Language modeling,Language modeling/generation",340000000000,7.34e+24,3.6e+12,11.531478917,24.8656960599,12.5563025008,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,1,1,0
InstructBLIP,2023-05-11,2023,"Salesforce Research,Hong Kong University of Science and Technology (HKUST),Nanyang Technological University","Multimodal,Language,Vision","Visual question answering,Chat",13000000000,1.94e+20,27321974054.5,10.1139433523,20.2878017299,10.4365120746,strict_observed,strict_observed,mice_pmm,0,0,1,0,0,0,1,0,1,0,1,0,0,1
Med-PaLM 2,2023-05-16,2023,"Google Research,DeepMind","Medicine,Language",Question answering,340000000000,4.79399624531e+22,16020450,11.531478917,22.6806976896,7.20467471086,epoch_source_estimate,mice_pmm,epoch_source_estimate,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CoEdiT-xxl,2023-05-17,2023,"University of Minnesota,Grammarly",Language,Language generation,11000000000,2.72e+21,1093333.33333,10.0413926852,21.434568904,6.03875258899,epoch_source_estimate,mice_pmm,epoch_source_estimate,0,1,0,0,0,0,0,0,0,0,1,0,0,1
ONE-PEACE,2023-05-18,2023,"Alibaba,Huazhong University of Science and Technology","Multimodal,Vision,Speech,Language","Image classification,Speech recognition (ASR),Audio question answering,Audio classification,Semantic segmentation",4000000000,1.8e+20,490617000000,9.60205999133,20.2552725051,11.6907425925,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,1,0,1,0,0,0
CodeT5+,2023-05-20,2023,Salesforce,Language,"Code generation,Code autocompletion",16000000000,6.27189732059e+22,51500000000,10.2041199827,22.7973989397,10.711807229,strict_observed,mice_pmm,strict_observed,0,1,0,0,0,0,0,1,0,0,1,0,0,1
Goat-7B,2023-05-23,2023,National University of Singapore,Language,Quantitative reasoning,7000000000,2.10285520186e+21,43700000,9.84509804001,21.3228093691,7.64048143697,epoch_source_estimate,mice_pmm,epoch_source_estimate,0,1,0,1,0,0,0,0,0,0,1,0,0,1
DPO on Pythia-2.8B,2023-05-29,2023,"Stanford University,CZ Biohub Network",Language,"Language modeling/generation,Question answering",2800000000,1.51393526943e+21,3962511829.64,9.44715803134,21.1801073066,9.59797057177,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,0,0,0,0,0,1
PaLI-X,2023-05-29,2023,Google Research,"Multimodal,Language,Vision,Video","Image captioning,Video description,Character recognition (OCR),Visual question answering",55000000000,5.6e+23,1.09535456849e+12,10.7403626895,23.748188027,12.0395547239,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,0,0,1,0,0,0,0,1
LTM-1,2023-06-06,2023,Magic,Language,Code generation,17606816861.7,8.24863625092e+22,131072000000,10.2456808469,22.9163821525,11.1175099263,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,1,0,0,0,0,0,1
GPT-3.5 Turbo,2023-06-13,2023,OpenAI,Language,"Language modeling/generation,Question answering,Chat",20000000000,3.5490054945e+23,111800000000,10.3010299957,23.5501066717,11.0484418036,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,1,0,0,0,0,0,0,1
